"",".rownames","price_3_nights","neigh_simp","number_of_reviews","reviews_per_month",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","obs_num"
"17","17",619.1,"City of Santa Cruz",86,0.82,895.719834755066,-276.619834755066,0.0085839712942373,844.703018846682,0.000156410839051816,-0.329225061750768,17
"18","18",268.78,"City of Santa Cruz",23,0.25,1025.3140223189,-756.534022318903,0.00761807326887355,844.027636127945,0.00103625873894239,-0.899966986955266,18
"19","19",320.12,"City of Santa Cruz",2,0.03,1068.08291530924,-747.962915309245,0.00830718558063418,844.044680857473,0.00110607235369673,-0.89007995520193,19
"20","20",268.78,"City of Santa Cruz",18,0.23,1035.96032268333,-767.18032268333,0.00765262448725635,844.005499236935,0.00107053701644694,-0.912647630753121,20
"21","21",1963,"City of Capitola",28,0.31,1215.53702510672,747.462974893281,0.01775298864946,844.038373033707,0.00240620840512168,0.893751667885167,21
"22","22",830.5,"Unincorporated Areas",27,0.27,1199.54246974596,-369.042469745963,0.00604604509225613,844.622146093251,0.000195081179142248,-0.438662746330739,22
"23","23",604,"City of Santa Cruz",7,0.07,1057.72272796544,-453.722727965443,0.00813654323936017,844.526812494627,0.000398511677880731,-0.539886077303352,23
"24","24",1132.5,"City of Santa Cruz",34,0.5,1004.8391256296,127.660874370396,0.00709434178490712,844.785137297021,2.74495729348925e-05,0.151824325415825,24
"25","25",797.28,"City of Santa Cruz",62,0.61,945.191232286751,-147.911232286751,0.00769711173149476,844.777524494188,4.00281406132183e-05,-0.175961058514405,25
"26","26",860.7,"City of Santa Cruz",96,0.94,875.571686108713,-14.8716861087125,0.00900962975626717,844.807015217052,4.74911102428257e-07,-0.0177036588234401,26
"27","27",1506.98,"Unincorporated Areas",31,0.31,1191.36876507917,315.611234920828,0.00599642892722827,844.671894545187,0.000141496447565858,0.37514228596481,27
"28","28",634.2,"City of Capitola",2,0.03,1268.37999242024,-634.179992420237,0.0182011129017165,844.253605837221,0.00177746792204901,-0.758470697409093,28
"29","29",912.04,"Unincorporated Areas",9,1.39,1254.92148708716,-342.881487087161,0.00645963958722902,844.64740447925,0.000180073232196315,-0.407651287676126,29
"30","30",954.32,"City of Santa Cruz",111,1.11,845.206406628871,109.113593371129,0.00987683617779755,844.791068376718,2.80750767063375e-05,0.129948654218894,30
"31","31",1359,"City of Santa Cruz",64,0.67,941.676605994606,417.323394005394,0.00760736332969592,844.570146040784,0.000314873694565464,0.496441983812123,31
"32","32",1585.5,"City of Santa Cruz",3,0.03,1065.89643263223,519.603567367766,0.00829295972348137,844.439362670154,0.000532857199261794,0.618326648727043,32
"33","33",265.76,"Unincorporated Areas",276,2.88,692.446032361959,-426.686032361959,0.033801026540326,844.552660754859,0.0015428987441295,-0.51441388062508,33
"34","34",2038.5,"City of Santa Cruz",7,0.11,1058.29495400669,980.205045993307,0.00802822208178562,843.497502931255,0.00183475651620246,1.16628533273199,34
"35","35",516.42,"City of Santa Cruz",429,4.52,198.687185356156,317.732814643844,0.0831818295146501,844.658511828577,0.00233835266023881,0.393240285064342,35
"36","36",634.2,"City of Santa Cruz",16,0.21,1040.04717501673,-405.847175016726,0.00770694125727513,844.582990074897,0.000301752601378907,-0.482814260360677,36
"37","37",836.54,"Unincorporated Areas",53,0.57,1146.98561545307,-310.44561545307,0.00586046736560163,844.676309450719,0.00013376190670753,-0.368977086020175,37
"38","38",700.64,"Unincorporated Areas",220,2.53,809.882084413601,-109.242084413601,0.0209609555120113,844.790845695385,6.10822230816348e-05,-0.130836076018793,38
"39","39",2129.1,"Unincorporated Areas",50,0.71,1155.54785462848,973.552145371522,0.00525942538047392,843.518835412764,0.00117912784330277,1.1567562109537,39
"40","40",323.14,"City of Santa Cruz",45,0.49,980.644759672177,-657.504759672177,0.00735335835141727,844.218618604512,0.00075512353122349,-0.782058247682435,40
"41","41",1854.28,"City of Santa Cruz",27,0.35,1017.99865671399,836.281343286012,0.00738020227039292,843.85472895392,0.00122611453672807,0.994714571606406,41
"42","42",924.12,"City of Santa Cruz",278,3.03,507.530649548151,416.589350451849,0.0349140373601059,844.564291745922,0.00152267854393398,0.502530820569184,42
"43","43",1250.28,"Unincorporated Areas",69,0.76,1114.71996631684,135.560033683157,0.0060678792868299,844.782333404081,2.64186513266236e-05,0.161135356197366,43
"44","44",410.72,"City of Santa Cruz",16,0.18,1039.61800548579,-628.898005485788,0.00778814330886181,844.268510363662,0.000732334291477117,-0.748196288403767,44
"45","45",1404.3,"City of Santa Cruz",36,0.4,999.035595172457,405.264404827543,0.00737825337288949,844.583708012935,0.000287863592451633,0.482041141213499,45
"46","46",637.22,"Unincorporated Areas",52,0.8,1152.46239786727,-515.24239786727,0.00508776438595132,844.446680563408,0.000319377604179709,-0.612148437116483,46
"47","47",1736.5,"City of Santa Cruz",27,0.31,1017.42643067274,719.073569327263,0.00748690495482694,844.1030621898,0.000919814617126095,0.85534779749653,47
